#Histogram size 128
#bin   frequency
0    0
1    0
2    0
3    0
4    0
5    0
6    0
7    0
8    0
9    0
10    0
11    0
12    0
13    0
14    0
15    0
16    2
17    7
18    3
19    6
20    6
21    8
22    11
23    15
24    21
25    13
26    20
27    31
28    36
29    27
30    40
31    48
32    53
33    59
34    65
35    85
36    90
37    83
38    95
39    123
40    124
41    156
42    165
43    219
44    211
45    270
46    294
47    326
48    309
49    362
50    390
51    389
52    359
53    404
54    374
55    345
56    391
57    305
58    343
59    298
60    290
61    256
62    234
63    206
64    187
65    113
66    102
67    115
68    86
69    97
70    78
71    66
72    51
73    44
74    37
75    34
76    41
77    35
78    32
79    26
80    25
81    13
82    32
83    17
84    7
85    19
86    21
87    15
88    12
89    10
90    16
91    0
92    0
93    0
94    0
95    0
96    0
97    0
98    0
99    0
100    0
101    0
102    0
103    0
104    0
105    0
106    0
107    0
108    0
109    0
110    0
111    0
112    0
113    0
114    0
115    0
116    0
117    0
118    0
119    0
120    0
121    0
122    0
123    0
124    0
125    0
126    0
127    0
