#Percents 128
#th   percentile bin
1th    :26
2th    :29
3th    :31
4th    :33
5th    :34
6th    :36
7th    :37
8th    :38
9th    :39
10th    :39
11th    :40
12th    :41
13th    :41
14th    :42
15th    :43
16th    :43
17th    :43
18th    :44
19th    :44
20th    :45
21th    :45
22th    :45
23th    :46
24th    :46
25th    :46
26th    :47
27th    :47
28th    :47
29th    :47
30th    :48
31th    :48
32th    :48
33th    :49
34th    :49
35th    :49
36th    :49
37th    :50
38th    :50
39th    :50
40th    :50
41th    :51
42th    :51
43th    :51
44th    :51
45th    :52
46th    :52
47th    :52
48th    :52
49th    :53
50th    :53
51th    :53
52th    :53
53th    :54
54th    :54
55th    :54
56th    :54
57th    :55
58th    :55
59th    :55
60th    :55
61th    :56
62th    :56
63th    :56
64th    :56
65th    :57
66th    :57
67th    :57
68th    :57
69th    :58
70th    :58
71th    :58
72th    :59
73th    :59
74th    :59
75th    :59
76th    :60
77th    :60
78th    :60
79th    :61
80th    :61
81th    :62
82th    :62
83th    :62
84th    :63
85th    :63
86th    :64
87th    :64
88th    :65
89th    :66
90th    :66
91th    :67
92th    :68
93th    :69
94th    :70
95th    :72
96th    :74
97th    :77
98th    :80
99th    :85
100th    :90
